package,label,source,pyscan_malicious,guarddog_malicious,guarddog_threat_rules
mlflow-3.15.1.tar.gz,benign,mlflow-3.15.1,False,True,threat-filesystem-autostart;threat-filesystem-destruction;threat-filesystem-read;threat-network-exfiltration;threat-network-outbound-shady-links;threat-process-download-exec;threat-process-memory;threat-process-spawn-silent;threat-runtime-dynamic-loader;threat-runtime-environment-read;threat-runtime-obfuscation;threat-runtime-obfuscation-base64exec;threat-runtime-obfuscation-log-suppress;threat-runtime-obfuscation-steganography
terminaltables-3.1.10.tar.gz,benign,terminaltables-3.1.10,False,False,
cairocffi-1.7.1.tar.gz,benign,cairocffi-1.7.1,False,False,
tzlocal-5.4.4.tar.gz,benign,tzlocal-5.4.4,False,False,
slowapi-0.1.10.tar.gz,benign,slowapi-0.1.10,False,True,threat-filesystem-read
nvidia_cusparse_cu12-12.5.10.65-py3-none-manylinux2014_aarch64.manylinux_2_17_aarch64.whl,benign,nvidia-cusparse-cu12-12.5.10.65,False,,
sklearn-rri-0.1.0.tar.gz,benign,pypi_random,False,False,
dqt-0.1.6.tar.gz,benign,pypi_random,False,False,
jpype1-1.7.1.tar.gz,benign,jpype1-1.7.1,False,False,
avbroadcast-0.8.0.tar.gz,benign,pypi_random,False,False,
ImageHash-4.3.2.tar.gz,benign,ImageHash-4.3.2,False,False,
azure-mgmt-datalake-store-0.5.0.zip,benign,azure-mgmt-datalake-store-0.5.0,False,False,
phantomtrace-1.0.6.tar.gz,benign,pypi_random,True,False,
ast_serialize-0.8.0.tar.gz,benign,ast-serialize-0.8.0,False,True,threat-runtime-obfuscation-unicode
pydata-google-auth-1.9.1.tar.gz,benign,pydata-google-auth-1.9.1,False,False,
prompt_toolkit-3.0.53.tar.gz,benign,prompt_toolkit-3.0.53,False,False,
google_cloud_orchestration_airflow-1.22.0.tar.gz,benign,google-cloud-orchestration-airflow-1.22.0,False,False,
json_repair-0.63.2.tar.gz,benign,json-repair-0.63.2,False,False,
mypy_boto3_lambda-1.43.60.tar.gz,benign,mypy-boto3-lambda-1.43.60,False,False,
seaborn-0.13.2.tar.gz,benign,seaborn-0.13.2,False,True,threat-runtime-obfuscation-steganography
sphinx-9.1.0.tar.gz,benign,Sphinx-9.1.0,False,True,threat-filesystem-read;threat-runtime-obfuscation-unicode
datasets-5.0.1.tar.gz,benign,datasets-5.0.1,False,True,threat-process-hooks;threat-runtime-environment-read
ply-3.11.tar.gz,benign,ply-3.11,False,False,
nvidia_curand-10.4.3.29-py3-none-manylinux_2_27_aarch64.whl,benign,nvidia-curand-10.4.3.29,False,False,
retrying-1.4.2.tar.gz,benign,retrying-1.4.2,False,False,
wirerope-1.0.0.tar.gz,benign,wirerope-1.0.0,False,False,
django-processengine-0.2.4.tar.gz,benign,pypi_random,False,False,
geographiclib-2.1.tar.gz,benign,geographiclib-2.1,False,False,
yapf-0.43.0.tar.gz,benign,yapf-0.43.0,False,False,
